x,y
-3.99E-01,-2.95E-21
-3.99E-01,-3.27E-21
-3.99E-01,-3.59E-21
-3.98E-01,-3.91E-21
-3.98E-01,-4.22E-21
-3.98E-01,-4.52E-21
-3.98E-01,-4.81E-21
-3.97E-01,-5.09E-21
-3.97E-01,-5.36E-21
-3.97E-01,-5.62E-21
-3.97E-01,-5.87E-21
-3.96E-01,-6.10E-21
-3.96E-01,-6.32E-21
-3.96E-01,-6.53E-21
-3.96E-01,-6.72E-21
-3.96E-01,-6.89E-21
-3.95E-01,-7.05E-21
-3.95E-01,-7.19E-21
-3.95E-01,-7.32E-21
-3.95E-01,-7.42E-21
-3.94E-01,-7.51E-21
-3.94E-01,-7.58E-21
-3.94E-01,-7.63E-21
-3.94E-01,-7.66E-21
-3.93E-01,-7.67E-21
-3.93E-01,-7.66E-21
-3.93E-01,-7.63E-21
-3.93E-01,-7.58E-21
-3.92E-01,-7.51E-21
-3.92E-01,-7.43E-21
-3.92E-01,-7.32E-21
-3.92E-01,-7.19E-21
-3.91E-01,-7.04E-21
-3.91E-01,-6.87E-21
-3.91E-01,-6.68E-21
-3.91E-01,-6.47E-21
-3.90E-01,-6.24E-21
-3.90E-01,-6.00E-21
-3.90E-01,-5.74E-21
-3.90E-01,-5.46E-21
-3.89E-01,-5.16E-21
-3.89E-01,-4.85E-21
-3.89E-01,-4.52E-21
-3.89E-01,-4.18E-21
-3.88E-01,-3.82E-21
-3.88E-01,-3.45E-21
-3.88E-01,-3.07E-21
-3.88E-01,-2.68E-21
-3.87E-01,-2.28E-21
-3.87E-01,-1.86E-21
-3.87E-01,-1.44E-21
-3.87E-01,-1.01E-21
-3.86E-01,-5.77E-22
-3.86E-01,-1.37E-22
-3.86E-01,3.08E-22
-3.86E-01,7.56E-22
-3.85E-01,1.21E-21
-3.85E-01,1.66E-21
-3.85E-01,2.11E-21
-3.85E-01,2.55E-21
-3.85E-01,3.00E-21
-3.84E-01,3.44E-21
-3.84E-01,3.88E-21
-3.84E-01,4.31E-21
-3.84E-01,4.73E-21
-3.83E-01,5.15E-21
-3.83E-01,5.55E-21
-3.83E-01,5.95E-21
-3.83E-01,6.33E-21
-3.82E-01,6.70E-21
-3.82E-01,7.05E-21
-3.82E-01,7.39E-21
-3.82E-01,7.72E-21
-3.81E-01,8.02E-21
-3.81E-01,8.31E-21
-3.81E-01,8.58E-21
-3.81E-01,8.83E-21
-3.80E-01,9.06E-21
-3.80E-01,9.26E-21
-3.80E-01,9.45E-21
-3.80E-01,9.61E-21
-3.79E-01,9.75E-21
-3.79E-01,9.86E-21
-3.79E-01,9.95E-21
-3.79E-01,1.00E-20
-3.78E-01,1.01E-20
-3.78E-01,1.01E-20
-3.78E-01,1.01E-20
-3.78E-01,1.00E-20
-3.77E-01,9.96E-21
-3.77E-01,9.87E-21
-3.77E-01,9.75E-21
-3.77E-01,9.61E-21
-3.76E-01,9.44E-21
-3.76E-01,9.24E-21
-3.76E-01,9.02E-21
-3.76E-01,8.78E-21
-3.75E-01,8.51E-21
-3.75E-01,8.21E-21
-3.75E-01,7.89E-21
-3.75E-01,7.55E-21
-3.75E-01,7.19E-21
-3.74E-01,6.80E-21
-3.74E-01,6.40E-21
-3.74E-01,5.97E-21
-3.74E-01,5.53E-21
-3.73E-01,5.07E-21
-3.73E-01,4.59E-21
-3.73E-01,4.09E-21
-3.73E-01,3.58E-21
-3.72E-01,3.06E-21
-3.72E-01,2.52E-21
-3.72E-01,1.98E-21
-3.72E-01,1.42E-21
-3.71E-01,8.60E-22
-3.71E-01,2.89E-22
-3.71E-01,-2.87E-22
-3.71E-01,-8.66E-22
-3.70E-01,-1.45E-21
-3.70E-01,-2.03E-21
-3.70E-01,-2.61E-21
-3.70E-01,-3.20E-21
-3.69E-01,-3.77E-21
-3.69E-01,-4.34E-21
-3.69E-01,-4.91E-21
-3.69E-01,-5.47E-21
-3.68E-01,-6.02E-21
-3.68E-01,-6.55E-21
-3.68E-01,-7.08E-21
-3.68E-01,-7.59E-21
-3.67E-01,-8.08E-21
-3.67E-01,-8.56E-21
-3.67E-01,-9.02E-21
-3.67E-01,-9.46E-21
-3.66E-01,-9.88E-21
-3.66E-01,-1.03E-20
-3.66E-01,-1.06E-20
-3.66E-01,-1.10E-20
-3.65E-01,-1.13E-20
-3.65E-01,-1.16E-20
-3.65E-01,-1.19E-20
-3.65E-01,-1.21E-20
-3.65E-01,-1.23E-20
-3.64E-01,-1.25E-20
